# ----------------------------------------
# Traffic acquisition: Session primary channel group (Default Channel Group)
# Account: Attack A Crack
# Property: Attack A Crack - GA4
# ----------------------------------------
# 
# All Users
# Start date: 20230101
# End date: 20260308
Session primary channel group (Default Channel Group),Sessions,Engaged sessions,Engagement rate,Average engagement time per session,Events per session,Event count,Key events,Session key event rate,Total revenue
Organic Search,7031,6481,0.921774996444318,51.71184753235671,4.749111079505049,33391,25006,0.9345754515716115,0
Direct,6531,6266,0.9594242841831266,13.87674169346195,4.190782422293676,27370,22617,0.9514622569284948,0
Paid Search,3845,3774,0.9815344603381014,13.771651495448635,3.7599479843953185,14457,12938,0.9908972691807543,0
Referral,909,884,0.9724972497249725,37.09350935093509,5.411441144114411,4919,1541,0.44554455445544555,0
Organic Social,404,384,0.9504950495049505,17.91089108910891,4.074257425742574,1646,1389,0.9603960396039604,0
Organic Video,71,67,0.9436619718309859,31.295774647887324,4.211267605633803,299,229,0.971830985915493,0
Unassigned,61,9,0.14754098360655737,26.557377049180328,2.262295081967213,138,82,0.5409836065573771,0
Cross-network,36,36,1,19.694444444444443,4.194444444444445,151,135,1,0
Paid Social,2,2,1,24.5,4.5,9,7,1,0
