Target,Target Type,Metric,Database,Summary,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03
attackacrack.com,root domain,Organic Traffic,Worldwide,22053,0,0,0,4,2,1,13,18,0,2,5,0,3,0,1,12,6,0,0,0,0,0,0,1,0,0,0,0,0,4,8,12,12,26,21,23,23,23,23,28,28,28,26,26,26,26,28,28,28,28,28,28,50,51,51,36,35,50,64,70,47,51,40,43,37,48,48,36,45,36,46,80,71,85,180,220,183,189,99,224,263,209,144,114,187,133,139,107,203,152,136,152,158,309,308,207,134,134,153,189,188,198,150,159,157,231,255,221,204,204,202,194,204,239,200,230,197,248,269,316,304,239,279,279,244,227,174,185,168,128,119,153,146,187,93,95,120,105,121,113,93,149,233,95,116,118,121,120,123,165,180,147,170,155,428,230,147,246,172,205,299,397,458,478,333,390,379,306,423,533,554
attackacrack.com,root domain,Organic Keywords,Worldwide,33842,1,3,1,4,5,4,9,6,3,3,3,0,2,1,6,9,4,1,0,0,0,0,0,1,0,0,0,1,1,5,7,9,9,7,3,4,3,2,2,2,2,2,2,2,2,76,83,80,57,87,89,79,95,120,123,121,103,190,248,309,311,285,258,242,226,150,88,105,94,186,308,307,322,341,204,173,192,194,208,315,337,259,189,218,226,189,185,181,146,140,216,232,324,539,461,370,295,194,177,166,226,215,235,242,264,252,289,256,212,199,191,199,230,236,211,227,322,305,261,271,264,288,226,206,246,327,516,412,442,381,290,477,355,334,400,453,423,481,370,393,386,325,254,268,207,191,221,228,332,274,229,230,243,246,222,226,199,181,218,257,312,442,467,487,541,527,501,412,488,521,536
attackacrack.com,root domain,Organic Traffic Cost,Worldwide,118879,0,1,0,0,13,1,2,0,0,0,0,0,0,0,21,13,26,5,0,0,0,0,0,0,0,0,0,0,0,1,1,16,16,16,42,60,87,87,87,87,79,79,115,115,115,115,68,68,68,68,68,68,243,249,251,67,48,141,191,202,206,141,137,99,77,51,25,43,33,39,104,94,140,281,669,864,781,806,674,1046,1127,946,937,831,947,936,773,688,823,1149,1007,1054,1092,1137,1116,511,483,499,486,461,557,520,723,721,755,875,654,451,482,402,422,955,903,991,803,959,781,834,552,662,695,855,883,772,465,586,777,849,844,769,599,1251,1200,1776,620,768,1545,549,796,710,641,866,917,313,244,286,245,282,254,1045,934,897,1050,641,2753,1366,877,1319,806,1338,3606,5227,4193,4611,2686,4159,4296,2136,3304,4860,5103
attackacrack.com,root domain,Paid Traffic,Worldwide,1460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attackacrack.com,root domain,Paid Keywords,Worldwide,27,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
attackacrack.com,root domain,Paid Traffic Cost,Worldwide,41665,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41659,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
